cnpj_fornecedor;nome_fornecedor;cod_produto_xml;descricao_produto_xml;id_sistema_sugerido;descricao_sistema_sugerida;CONFIRMAR_ID_SISTEMA
2884314000120;RAFAEL & DANTAS LTDA;27594;BORRACHA EVA IBEL 40X95 ABER C/10 PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;3305;MARCADOR PERMAN CD/DVD PILOT 2M VERMELHO;;;
2884314000120;RAFAEL & DANTAS LTDA;35782;CANETA BIC CRISTAL FINA VM C/100 902453;1004430;CANETA BIC CRISTAL FOR HER LILAS/ROSA;1004430
2884314000120;RAFAEL & DANTAS LTDA;3312;MARCADOR RETRO-PROJ 2MM PILOT VERMELHO;;;
2884314000120;RAFAEL & DANTAS LTDA;33701;CANETA BIC CRISTAL FINA AZ C/100 902452;1004430;CANETA BIC CRISTAL FOR HER LILAS/ROSA;1004430
2884314000120;RAFAEL & DANTAS LTDA;3307;MARCADOR PERMAN CD/DVD PILOT 2M AZUL;;;
2884314000120;RAFAEL & DANTAS LTDA;3300;MARCADOR P/QUADRO BCO PILOT WBM-7 PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;3299;MARCADOR P/QUADRO BCO PILOT WBM-7 VERME;;;
2884314000120;RAFAEL & DANTAS LTDA;17642;CANETA COMPACTOR 07 C/100 AZUL;1013868;CANETA COMPACTOR 07 FINA;1013868
2884314000120;RAFAEL & DANTAS LTDA;3918;TINTA ACRILEX PVA 250M 3225 519 BRANCO;;;
2884314000120;RAFAEL & DANTAS LTDA;3925;TINTA ACRILEX PVA 250M 3225 520 PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;7575;TINTA ACRILEX TEC 250ML 4125 505 AM OURO;;;
2884314000120;RAFAEL & DANTAS LTDA;7574;TINTA ACRILEX TEC 250ML 4125 520 PRETO;;;
2884314000120;RAFAEL & DANTAS LTDA;7533;TINTA ACRILEX TEC 250ML 4125 519 BCO;;;
2884314000120;RAFAEL & DANTAS LTDA;7546;TINTA ACRILEX TEC 250ML 4125 503 AZ CELE;;;
2884314000120;RAFAEL & DANTAS LTDA;8644;TINTA REABAST. RADEX 20ML Q.BRANCO VM;;;
2884314000120;RAFAEL & DANTAS LTDA;8643;TINTA REABAST. RADEX 20ML Q.BRANCO AZ;;;
2884314000120;RAFAEL & DANTAS LTDA;8642;TINTA REABAST. RADEX 20ML Q.BRANCO PT;;;
2884314000120;RAFAEL & DANTAS LTDA;3906;PASTA YES C/CANALETA C310 A4 CRISTAL;;;
2884314000120;RAFAEL & DANTAS LTDA;35068;PAPEL FOTO A4 130G MASTERP ADES C/50FL;;;
2884314000120;RAFAEL & DANTAS LTDA;44527;APAGADOR MASTER P/ QUAD BCO C/IMA MP3100;;;
2884314000120;RAFAEL & DANTAS LTDA;3921;TINTA ACRILEX PVA 250M 3225 510 VD FOLHA;;;
3021917000241;Maria Luciana Ferreira Paulino Ltda;AVARM.0002;CHAPA DE ACRILICO CRISTAL AVARIA ACX 000 1m x 1m x 2,4mm;;;
3021917000241;Maria Luciana Ferreira Paulino Ltda;AVAR.9670;CHAPA DE ACRILICO PRETO AVARIA ACX 1000 2m x 1m x 2,4mm;;;
3021917000241;Maria Luciana Ferreira Paulino Ltda;AVARM.0028;CHAPA DE ACRILICO BRANCO AVARIA ACX 1900 1m x 1m x 2,4mm;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;3333;ADITIVO PROTETOR RADIADOR 1LT 0003333;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;4209;ADITIVO PROTETOR RADIADOR 4LT 0004209;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;1448;ANEL ORING PORTA INJETOR MOTOR 0001448;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;3181;ANEL ORING PORTA INJETOR MOTOR 0003181;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;121;ARRUELA BICO INJETOR MOTOR 0000121;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;825;BALANCIM ADMISSAO MOTOR 0000825;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;4539;BALANCIM ESCAPE MOTOR 0004539;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;1371;JUNTA TAMPA CX DISTRIBUICAO 0001371;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;397;OLEO MOTOR SAE 15W40 API CI4 XV200 20LT 0000397;;;
4185877000821;JS DISTRIBUIDORA DE PECAS S/A;1855;TAMPA VALVULA MOTOR 0001855;;;
4522065000158;FORTALEZA DISTRIBUICAO E LOGISTICA LTDA;7056;PILHA ALCALINA MD CART C/2 UND CAR 2 UND;;;
4522065000158;FORTALEZA DISTRIBUICAO E LOGISTICA LTDA;7136;PILHA AMARELINHA PALITO AAA TB 40 PILHAS TUBO 40 UND;1018391;PILHA AMARELINHA PALITO AAA 4X4;1018391
4522065000158;FORTALEZA DISTRIBUICAO E LOGISTICA LTDA;7270;PILHA ALCALINA PAL AAA CART C/4 LV4 PG3 CAR 4 UND;1023642;PILHA ALCALINA PAL AAA CART C/4;1023642
5670242000106;JR COMERCIO DE PLASTICOS LTDA;709;PONTEIRA DIVERSAS 3/4;;;
5670242000106;JR COMERCIO DE PLASTICOS LTDA;29841;CORDAO PUNHO REDE MEDIO 4/2 - BRANCO;;;
5670242000106;JR COMERCIO DE PLASTICOS LTDA;14105;CHAPA PVC EXPANDIDO BRANCA IMP 122X244MM *2MM;;;
6891147000103;GALETOS COMERCIAL LTDA;784;FGO - COXA C/SOBRE RICO IND CX 20KG;;;
6891147000103;GALETOS COMERCIAL LTDA;2506;BOV - BIFE DO VAZIO QUALITY BEEF PECAS CX +-25 KG;;;
6891147000103;GALETOS COMERCIAL LTDA;75;FGO - FILE DE PEITO RICO CX 20 KG;;;
