chave;data_emissao;cProd;xProd;uCom;qCom;vUnCom;vProd;ncm;cfop;cst;orig;cnpj_emitente;xNome_emitente
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;19091;BALAO SAO ROQUE 7 LISO IMPER SORTIDO;UN;15;7.56;113.4;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;13350;BALAO SAO ROQUE 7 LISO AMARELO CITRIN;UN;15;7.56;113.4;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;13349;BALAO SAO ROQUE 7 LISO ROSA TUTI FRUT;UN;12;7.56;90.72;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;53415;BALAO SAO ROQUE 7 LISO RUBI;UN;22;7.56;166.32;95030099;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005885801246140387;2025-01-10T11:46:00-03:00;3327;MASSA DE MODELAR KOALA 12 CORES REF 2634;UN;60;3.37;202.2;34070010;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;52483;FITA ADELBRAS 12X10 QUALI CLEAR TRANSP;UN;30;0.5;15;39191010;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;309;CARTOLINA LAMINADA CROMUS PRATA 20F;UN;20;1.74;34.8;76071190;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;306;CARTOLINA LAMINADA CROMUS DOURADO 20F;UN;20;1.74;34.8;76071190;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;46708;PAPEL USAPEL 180G 30F PER ROSA 25056;UN;1;28.3;28.3;48025810;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;46708;PAPEL USAPEL 180G 30F PER ROSA 25056;UN;1;28.3;28.3;48025810;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;30986;PASTA DAC SANF 12 DIV P.CH ECO 6080PP FM;UN;1;14.96;14.96;39261000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;30986;PASTA DAC SANF 12 DIV P.CH ECO 6080PP FM;UN;1;14.96;14.96;39261000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;32247;PASTA DAC SANF 12 DIV P.CH ECO 6080PP AZ;UN;1;14.96;14.96;39261000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;32247;PASTA DAC SANF 12 DIV P.CH ECO 6080PP AZ;UN;1;14.96;14.96;39261000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;22364;GRAMPO ACC DUBLIN 26/6 C/5000 RED COBREA;UN;6;6.89;41.34;83052000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;107;GRAMPO ACC ROCAMA 106/4 CX/5000 UN;UN;6;18.24;109.44;83052000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;24897;MARCADOR P/QUADRO BCO COMPACTOR AZUL;UN;12;5.02;60.24;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;24897;MARCADOR P/QUADRO BCO COMPACTOR AZUL;UN;12;5.02;60.24;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;11979;MARCADOR P/QUADRO BCO PILOT WBMA-VBM AZ;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;11977;MARCADOR P/QUADRO BCO PILOT WBMA-VBM VEM;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;24898;MARCADOR P/QUADRO BCO COMPACTOR PRETO;UN;12;5.02;60.24;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;24898;MARCADOR P/QUADRO BCO COMPACTOR PRETO;UN;12;5.02;60.24;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;27133;MARCADOR P/QUADRO BCO COMPACTOR VERMELHO;UN;12;5.02;60.24;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3302;MARCADOR P/QUADRO BCO PILOT WBM-7 AZUL;UN;12;7.22;86.64;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3302;MARCADOR P/QUADRO BCO PILOT WBM-7 AZUL;UN;12;7.22;86.64;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;475;APAGADOR P/QUADRO BRANCO SUPER RADEX;UN;6;4.7;28.2;96039000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;7826;COLA GLITER ACRILEX 35G 2912 201 OURO;UN;12;3.91;46.92;35069190;5403;60;5;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3313;MARCADOR RETRO-PROJ 2MM PILOT AZUL;UN;12;3.53;42.36;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3313;MARCADOR RETRO-PROJ 2MM PILOT AZUL;UN;12;3.53;42.36;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;18080;CANETA BIC CRISTAL AZUL C/50 835205;UN;50;0.6;30;96081000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;18080;CANETA BIC CRISTAL AZUL C/50 835205;UN;50;0.6;30;96081000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;18080;CANETA BIC CRISTAL AZUL C/50 835205;UN;50;0.6;30;96081000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;23897;BORRACHA CIS DADINHOS C/24;UN;24;2.24;53.76;40169200;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;38032;CANETA BIC CRISTAL UP 1.2 SORT 930008;UN;32;1.19;38.08;96081000;5403;60;3;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3314;MARCADOR RETRO-PROJ 2MM PILOT PRETO;UN;12;3.53;42.36;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;3306;MARCADOR PERMAN CD/DVD PILOT 2M PRETO;UN;12;4.09;49.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005891251902171000;2025-01-15T10:23:00-03:00;10825;FITA EURO 45X45 PP33 TRANSPARENTE;UN;16;3.55;56.8;39191010;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005900941173209205;2025-01-22T15:03:00-03:00;3611;PAPEL REPORT SENINHA A4 100F BRANCO;UN;75;5.25;393.75;48025610;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005900941173209205;2025-01-22T15:03:00-03:00;28526;BORRACHA F.CASTELL C/CINTA OFFICE7024N;UN;24;2.33;55.92;40069000;5403;60;5;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;24025;PASTA POLIBRAS C/FERRAG SOFT AZ 8160609;UN;10;1.54;15.4;39261000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;24025;PASTA POLIBRAS C/FERRAG SOFT AZ 8160609;UN;10;1.54;15.4;39261000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;28525;BORRACHA F.CASTELL C/CINTA PLA 7024FLVN;UN;24;2.33;55.92;39269090;5403;60;5;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;28525;BORRACHA F.CASTELL C/CINTA PLA 7024FLVN;UN;24;2.33;55.92;39269090;5403;60;5;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3302;MARCADOR P/QUADRO BCO PILOT WBM-7 AZUL;UN;24;7.22;173.28;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;11978;MARCADOR P/QUADRO BCO PILOT WBMA-VBM PRE;UN;12;10.87;130.44;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;17891;PALITO PICOLE COMUM C/30;UN;20;3.03;60.6;44219900;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;27586;BORRACHA EVA IBEL 40X95 ABER C/10 AMAREL;UN;2;33.68;67.36;40021911;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;27591;BORRACHA EVA IBEL 40X95 ABER C/10 VERMEL;UN;2;33.68;67.36;40021911;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;27594;BORRACHA EVA IBEL 40X95 ABER C/10 PRETO;UN;10;33.68;336.8;40021911;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;11979;MARCADOR P/QUADRO BCO PILOT WBMA-VBM AZ;UN;24;10.87;260.88;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3305;MARCADOR PERMAN CD/DVD PILOT 2M VERMELHO;UN;12;4.09;49.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;35782;CANETA BIC CRISTAL FINA VM C/100 902453;UN;200;0.56;112;96081000;5403;60;4;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3312;MARCADOR RETRO-PROJ 2MM PILOT VERMELHO;UN;36;3.53;127.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;33701;CANETA BIC CRISTAL FINA AZ C/100 902452;UN;500;0.56;280;96081000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;18080;CANETA BIC CRISTAL AZUL C/50 835205;UN;100;0.6;60;96081000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;11977;MARCADOR P/QUADRO BCO PILOT WBMA-VBM VEM;UN;24;10.87;260.88;96082000;5403;60;2;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;24898;MARCADOR P/QUADRO BCO COMPACTOR PRETO;UN;60;5.02;301.2;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3306;MARCADOR PERMAN CD/DVD PILOT 2M PRETO;UN;12;4.09;49.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3307;MARCADOR PERMAN CD/DVD PILOT 2M AZUL;UN;12;4.09;49.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;24897;MARCADOR P/QUADRO BCO COMPACTOR AZUL;UN;60;5.02;301.2;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3313;MARCADOR RETRO-PROJ 2MM PILOT AZUL;UN;36;3.53;127.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3300;MARCADOR P/QUADRO BCO PILOT WBM-7 PRETO;UN;24;7.22;173.28;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
23250102884314000120550010005904941212215101;2025-01-25T09:41:00-03:00;3314;MARCADOR RETRO-PROJ 2MM PILOT PRETO;UN;36;3.53;127.08;96082000;5403;60;0;2884314000120;RAFAEL & DANTAS LTDA
