key;cEAN;cProd;xProd;maxPrice
7898119103346;7898119103346;44914;TINTA EPSON BULK 504/544 70ML CIANO;8.91
7898119103360;7898119103360;44916;TINTA EPSON BULK 504/544 70ML AMARELO;8.91
7898119103339;7898119103339;45639;TINTA MASTERPRINT EPSON 127ML BLACK 544;7.95
7898119103353;7898119103353;44915;TINTA EPSON BULK 504/544 70ML MAGENTA;8.91
7898119103261;7898119103261;37745;TINTA MASTER EP BULK INK 664 100ML AMAR;6.165
7896243104475;7896243104475;24294;BALAO SAO ROQUE 7 LISO AZUL BABY;8.52
7896243104567;7896243104567;102019;BALAO SAO ROQUE 07 VERDE MACA     C/50UN;8.92
7897464701603;7897464701603;19368;COLA GLITER 06 CORES X 25GRS;8.976
7891153029030;7891153029030;37386;COLA GLITTER TB 35GRS COR VERMELHO;3.5112
7899021354932;7899021354932;28702;EVA IBEL 40 X 95 C/10 UN LARANJA;31.3
51336;;51336;EVA PLACA GLITTER MAKE 40X48 OURO;2.64
7891153032153;7891153032153;19993;TINTA ACRILEX PVA 37ML 3240 519 BRANCO;3.55
7891153032160;7891153032160;4575;TINTA ACRILEX PVA 37ML 3240 520 PRETO;3.55
7891153041384;7891153041384;5044;TINTA ACRILEX TEC 37M FOS 4140 519 BCO;3.9
7891153041391;7891153041391;5006;TINTA ACRILEX TEC 37M FOS 4140 520 PRETO;3.9
7898494150683;7898494150683;48307;FITA DEMARCACAO AREA 70 X 200M ZEBRADA;10.78
7898314740858;7898314740858;1698;PAPEL ESCOLAR 40 KG A-4 C/200 FLS BRANCO;22.8159
7898314741961;7898314741961;1700;PAPEL ESCOLAR 60 KG A-4 C/50 FLS BRANCO;9.265
5623;;5623;TOALHA LAVABO SUBLI AMARELO;7.2
5197;;5197;TOALHA LAVABO AVELUDADA PRETA;7.2
5182;;5182;TOALHA LAVABO SUBLI BRANCA;5.36
5177;;5177;TOALHA LAVABO SUBLI AZUL ESCURA;5.36
5172;;5172;TOALHA LAVABINHO SUBLI LARANJA;3.08
5168;;5168;TOALHA LAVABINHO SUBLI AZUL MEDIO;3.08
5167;;5167;TOALHA LAVABINHO SUBLI AZUL ESCURO;3.08
5160;;5160;TOALHA LAVABINHO SUBLI PINK;3.08
5159;;5159;TOALHA LAVABINHO SUBLI ROSA CLARO;3.08
5158;;5158;TOALHA LAVABINHO SUBLI VERDE CLARO;3.08
5171;;5171;TOALHA LAVABINHO SUBLI VERDE EXERCITO;3.08
5084;;5084;CAIXA CANECA TEMA  AMOR E O PRINCIPAL;1.34
2713;;2713;TECIDO DRY PLUS 100% PES UV50 BRANCO;41.900174743
1591;;1591;POLIESTIRENO PSAI TRILAMINADO BCO (3X1.30)2.0;143
LPG0088;;LPG0088;GARRA DE FIXACAO DE ILUMINACAO SIMPLES;15
10343988538;10343988538;607151;Garrafa de Tinta Epson T544122 BR Preta 4.500 Paginas para EcoTank L3150 L3250 L3160 L3260 L3560 L5190 L5290 L5590;47.5
10343988545;10343988545;607169;Garrafa de Tinta Epson T544222 BR Ciano 7.500 Paginas para EcoTank L3150 L3250 L3160 L3260 L3560 L5190 L5290 L5590;47.51
10343988552;10343988552;607177;Garrafa de Tinta Epson T544322 BR Magenta 7.500 Paginas para EcoTank L3150 L3250 L3160 L3260 L3560 L5190 L5290 L5590;47.51
4549292041842;4549292041842;437344;Garrafa de Tinta Canon GI 190M Magenta 7.000 Paginas para G1100 G1110 G2100 G2110 G3100 G3102 G3110 G3111 G4100 G4110;69.78
4549292041866;4549292041866;437352;Garrafa de Tinta Canon GI 190Y Amarela 7.000 Paginas para G1100 G1110 G2100 G2110 G3100 G3102 G3110 G3111 G4100 G4110;66.2
4549292041828;4549292041828;437336;Garrafa de Tinta Canon GI 190C Ciano 7.000 Paginas para G1100 G1110 G2100 G2110 G3100 G3102 G3110 G3111 G4100 G4110;69.78
